disease,pain,respiratory,fever,digestive,urinary,skin,neurological,vision,energy,mental,joint_muscle,appetite_weight,other
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"excessive_hunger,fatigue,increased_appetite,lethargy",restlessness,,"obesity,weight_loss",irregular_sugar_level
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"excessive_hunger,fatigue,increased_appetite,lethargy",restlessness,,"obesity,weight_loss",irregular_sugar_level
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"excessive_hunger,increased_appetite,lethargy",restlessness,,"obesity,weight_loss",irregular_sugar_level
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"excessive_hunger,fatigue,increased_appetite,lethargy",restlessness,,obesity,irregular_sugar_level
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"excessive_hunger,fatigue,increased_appetite,lethargy",,,"obesity,weight_loss",irregular_sugar_level
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"excessive_hunger,fatigue,increased_appetite",restlessness,,"obesity,weight_loss",irregular_sugar_level
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"excessive_hunger,fatigue,increased_appetite,lethargy",restlessness,,"obesity,weight_loss",
Diabetes ,,,,,polyuria,,,,"excessive_hunger,fatigue,increased_appetite,lethargy",restlessness,,"obesity,weight_loss",irregular_sugar_level
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"excessive_hunger,fatigue,increased_appetite,lethargy",restlessness,,weight_loss,irregular_sugar_level
Diabetes ,,,,,polyuria,,,blurred_and_distorted_vision,"fatigue,increased_appetite,lethargy",restlessness,,"obesity,weight_loss",irregular_sugar_level
Gastroenteritis,,,,"diarrhoea,vomiting",,,,sunken_eyes,,,,,dehydration
Gastroenteritis,,,,"diarrhoea,vomiting",,,,sunken_eyes,,,,,dehydration
Gastroenteritis,,,,diarrhoea,,,,sunken_eyes,,,,,dehydration
Gastroenteritis,,,,"diarrhoea,vomiting",,,,,,,,,dehydration
Gastroenteritis,,,,"diarrhoea,vomiting",,,,sunken_eyes,,,,,
Gastroenteritis,,,,vomiting,,,,sunken_eyes,,,,,dehydration
Gastroenteritis,,,,"diarrhoea,vomiting",,,,sunken_eyes,,,,,dehydration
Gastroenteritis,,,,diarrhoea,,,,sunken_eyes,,,,,dehydration
Gastroenteritis,,,,"diarrhoea,vomiting",,,,,,,,,dehydration
Gastroenteritis,,,,"diarrhoea,vomiting",,,,sunken_eyes,,,,,
Bronchial Asthma,,"breathlessness,cough,mucoid_sputum",high_fever,,,,,,fatigue,,,,family_history
Bronchial Asthma,,"breathlessness,cough,mucoid_sputum",high_fever,,,,,,,,,,family_history
Bronchial Asthma,,"breathlessness,mucoid_sputum",high_fever,,,,,,fatigue,,,,family_history
Bronchial Asthma,,"breathlessness,cough,mucoid_sputum",,,,,,,fatigue,,,,family_history
Bronchial Asthma,,"cough,mucoid_sputum",high_fever,,,,,,fatigue,,,,family_history
Bronchial Asthma,,"breathlessness,cough,mucoid_sputum",high_fever,,,,,,fatigue,,,,
Bronchial Asthma,,"breathlessness,cough",high_fever,,,,,,fatigue,,,,family_history
Bronchial Asthma,,"breathlessness,cough,mucoid_sputum",high_fever,,,,,,fatigue,,,,family_history
Bronchial Asthma,,"breathlessness,cough,mucoid_sputum",high_fever,,,,,,,,,,family_history
Bronchial Asthma,,"breathlessness,mucoid_sputum",high_fever,,,,,,fatigue,,,,family_history
Hypertension ,"chest_pain,headache",,,,,,"dizziness,loss_of_balance",,,lack_of_concentration,,,
Hypertension ,chest_pain,,,,,,"dizziness,loss_of_balance",,,lack_of_concentration,,,
Hypertension ,headache,,,,,,"dizziness,loss_of_balance",,,lack_of_concentration,,,
Hypertension ,"chest_pain,headache",,,,,,loss_of_balance,,,lack_of_concentration,,,
Hypertension ,"chest_pain,headache",,,,,,dizziness,,,lack_of_concentration,,,
Hypertension ,"chest_pain,headache",,,,,,"dizziness,loss_of_balance",,,,,,
Hypertension ,"chest_pain,headache",,,,,,"dizziness,loss_of_balance",,,lack_of_concentration,,,
Hypertension ,chest_pain,,,,,,"dizziness,loss_of_balance",,,lack_of_concentration,,,
Hypertension ,headache,,,,,,"dizziness,loss_of_balance",,,lack_of_concentration,,,
Hypertension ,"chest_pain,headache",,,,,,loss_of_balance,,,lack_of_concentration,,,
Migraine,headache,,,"acidity,indigestion",,,,blurred_and_distorted_vision,excessive_hunger,"depression,irritability",stiff_neck,,visual_disturbances
Migraine,headache,,,indigestion,,,,blurred_and_distorted_vision,excessive_hunger,"depression,irritability",stiff_neck,,visual_disturbances
Migraine,headache,,,acidity,,,,blurred_and_distorted_vision,excessive_hunger,"depression,irritability",stiff_neck,,visual_disturbances
Migraine,,,,"acidity,indigestion",,,,blurred_and_distorted_vision,excessive_hunger,"depression,irritability",stiff_neck,,visual_disturbances
Migraine,headache,,,"acidity,indigestion",,,,,excessive_hunger,"depression,irritability",stiff_neck,,visual_disturbances
Migraine,headache,,,"acidity,indigestion",,,,blurred_and_distorted_vision,,"depression,irritability",stiff_neck,,visual_disturbances
Migraine,headache,,,"acidity,indigestion",,,,blurred_and_distorted_vision,excessive_hunger,"depression,irritability",,,visual_disturbances
Migraine,headache,,,"acidity,indigestion",,,,blurred_and_distorted_vision,excessive_hunger,irritability,stiff_neck,,visual_disturbances
Migraine,headache,,,"acidity,indigestion",,,,blurred_and_distorted_vision,excessive_hunger,depression,stiff_neck,,visual_disturbances
Migraine,headache,,,"acidity,indigestion",,,,blurred_and_distorted_vision,excessive_hunger,"depression,irritability",stiff_neck,,
Cervical spondylosis,"back_pain,neck_pain",,,,,,"dizziness,loss_of_balance,weakness_in_limbs",,,,,,
Cervical spondylosis,"back_pain,neck_pain",,,,,,"dizziness,loss_of_balance,weakness_in_limbs",,,,,,
Cervical spondylosis,neck_pain,,,,,,"dizziness,loss_of_balance,weakness_in_limbs",,,,,,
Cervical spondylosis,"back_pain,neck_pain",,,,,,"dizziness,loss_of_balance",,,,,,
Cervical spondylosis,back_pain,,,,,,"dizziness,loss_of_balance,weakness_in_limbs",,,,,,
Cervical spondylosis,"back_pain,neck_pain",,,,,,"loss_of_balance,weakness_in_limbs",,,,,,
Cervical spondylosis,"back_pain,neck_pain",,,,,,"dizziness,weakness_in_limbs",,,,,,
Cervical spondylosis,"back_pain,neck_pain",,,,,,"dizziness,loss_of_balance,weakness_in_limbs",,,,,,
Cervical spondylosis,neck_pain,,,,,,"dizziness,loss_of_balance,weakness_in_limbs",,,,,,
Cervical spondylosis,"back_pain,neck_pain",,,,,,"dizziness,loss_of_balance",,,,,,
Paralysis (brain hemorrhage),headache,,,vomiting,,,"altered_sensorium,weakness_of_one_body_side",,,,,,
Paralysis (brain hemorrhage),headache,,,vomiting,,,"altered_sensorium,weakness_of_one_body_side",,,,,,
Paralysis (brain hemorrhage),headache,,,,,,"altered_sensorium,weakness_of_one_body_side",,,,,,
Paralysis (brain hemorrhage),,,,vomiting,,,"altered_sensorium,weakness_of_one_body_side",,,,,,
Paralysis (brain hemorrhage),headache,,,vomiting,,,altered_sensorium,,,,,,
Paralysis (brain hemorrhage),headache,,,vomiting,,,weakness_of_one_body_side,,,,,,
Paralysis (brain hemorrhage),headache,,,vomiting,,,"altered_sensorium,weakness_of_one_body_side",,,,,,
Paralysis (brain hemorrhage),headache,,,,,,"altered_sensorium,weakness_of_one_body_side",,,,,,
Paralysis (brain hemorrhage),,,,vomiting,,,"altered_sensorium,weakness_of_one_body_side",,,,,,
Paralysis (brain hemorrhage),headache,,,vomiting,,,altered_sensorium,,,,,,
Jaundice,abdominal_pain,,high_fever,vomiting,dark_urine,"itching,yellowish_skin",,,fatigue,,,weight_loss,
Jaundice,abdominal_pain,,high_fever,vomiting,dark_urine,"itching,yellowish_skin",,,fatigue,,,weight_loss,
Jaundice,abdominal_pain,,high_fever,vomiting,dark_urine,yellowish_skin,,,fatigue,,,weight_loss,
Jaundice,abdominal_pain,,high_fever,,dark_urine,"itching,yellowish_skin",,,fatigue,,,weight_loss,
Jaundice,abdominal_pain,,high_fever,vomiting,dark_urine,"itching,yellowish_skin",,,,,,weight_loss,
Jaundice,abdominal_pain,,high_fever,vomiting,dark_urine,"itching,yellowish_skin",,,fatigue,,,,
Jaundice,abdominal_pain,,,vomiting,dark_urine,"itching,yellowish_skin",,,fatigue,,,weight_loss,
Jaundice,abdominal_pain,,high_fever,vomiting,dark_urine,itching,,,fatigue,,,weight_loss,
Jaundice,abdominal_pain,,high_fever,vomiting,,"itching,yellowish_skin",,,fatigue,,,weight_loss,
Jaundice,,,high_fever,vomiting,dark_urine,"itching,yellowish_skin",,,fatigue,,,weight_loss,
Malaria,"headache,muscle_pain",,"chills,high_fever,sweating","nausea,vomiting",,,,,,,,,
Malaria,"headache,muscle_pain",,"chills,high_fever,sweating","diarrhoea,nausea,vomiting",,,,,,,,,
Malaria,"headache,muscle_pain",,"chills,high_fever,sweating","diarrhoea,nausea,vomiting",,,,,,,,,
Malaria,"headache,muscle_pain",,"high_fever,sweating","diarrhoea,nausea,vomiting",,,,,,,,,
Malaria,"headache,muscle_pain",,"chills,high_fever,sweating","diarrhoea,nausea",,,,,,,,,
Malaria,"headache,muscle_pain",,"chills,sweating","diarrhoea,nausea,vomiting",,,,,,,,,
Malaria,"headache,muscle_pain",,"chills,high_fever","diarrhoea,nausea,vomiting",,,,,,,,,
Malaria,muscle_pain,,"chills,high_fever,sweating","diarrhoea,nausea,vomiting",,,,,,,,,
Malaria,"headache,muscle_pain",,"chills,high_fever,sweating","diarrhoea,vomiting",,,,,,,,,
Malaria,"headache,muscle_pain",,"chills,high_fever,sweating","nausea,vomiting",,,,,,,,,
Chicken pox,headache,,"high_fever,mild_fever",,,"itching,skin_rash",,,"fatigue,lethargy,loss_of_appetite,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,headache,,"high_fever,mild_fever",,,skin_rash,,,"fatigue,lethargy,loss_of_appetite,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,headache,,"high_fever,mild_fever",,,itching,,,"fatigue,lethargy,loss_of_appetite,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,headache,,"high_fever,mild_fever",,,"itching,skin_rash",,,"lethargy,loss_of_appetite,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,headache,,"high_fever,mild_fever",,,"itching,skin_rash",,,"fatigue,loss_of_appetite,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,headache,,mild_fever,,,"itching,skin_rash",,,"fatigue,lethargy,loss_of_appetite,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,,,"high_fever,mild_fever",,,"itching,skin_rash",,,"fatigue,lethargy,loss_of_appetite,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,headache,,"high_fever,mild_fever",,,"itching,skin_rash",,,"fatigue,lethargy,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,headache,,high_fever,,,"itching,skin_rash",,,"fatigue,lethargy,loss_of_appetite,malaise",,,,"red_spots_over_body,swelled_lymph_nodes"
Chicken pox,headache,,"high_fever,mild_fever",,,"itching,skin_rash",,,"fatigue,lethargy,loss_of_appetite,malaise",,,,red_spots_over_body
Dengue,"back_pain,headache,joint_pain,muscle_pain,pain_behind_the_eyes",,"chills,high_fever","nausea,vomiting",,skin_rash,,,"fatigue,loss_of_appetite",,,,red_spots_over_body
Dengue,"back_pain,headache,joint_pain,pain_behind_the_eyes",,"chills,high_fever","nausea,vomiting",,skin_rash,,,"fatigue,loss_of_appetite,malaise",,,,red_spots_over_body
Dengue,"back_pain,headache,joint_pain,muscle_pain,pain_behind_the_eyes",,"chills,high_fever","nausea,vomiting",,skin_rash,,,"fatigue,loss_of_appetite,malaise",,,,
Dengue,"back_pain,headache,joint_pain,muscle_pain,pain_behind_the_eyes",,"chills,high_fever","nausea,vomiting",,skin_rash,,,"fatigue,loss_of_appetite,malaise",,,,red_spots_over_body
Dengue,"back_pain,headache,joint_pain,muscle_pain,pain_behind_the_eyes",,"chills,high_fever","nausea,vomiting",,,,,"fatigue,loss_of_appetite,malaise",,,,red_spots_over_body
Dengue,"back_pain,headache,joint_pain,muscle_pain,pain_behind_the_eyes",,high_fever,"nausea,vomiting",,skin_rash,,,"fatigue,loss_of_appetite,malaise",,,,red_spots_over_body
Dengue,"back_pain,headache,muscle_pain,pain_behind_the_eyes",,"chills,high_fever","nausea,vomiting",,skin_rash,,,"fatigue,loss_of_appetite,malaise",,,,red_spots_over_body
Dengue,"back_pain,headache,joint_pain,muscle_pain,pain_behind_the_eyes",,"chills,high_fever",nausea,,skin_rash,,,"fatigue,loss_of_appetite,malaise",,,,red_spots_over_body
Dengue,"back_pain,headache,joint_pain,muscle_pain,pain_behind_the_eyes",,"chills,high_fever","nausea,vomiting",,skin_rash,,,"loss_of_appetite,malaise",,,,red_spots_over_body
Dengue,"back_pain,headache,joint_pain,muscle_pain,pain_behind_the_eyes",,chills,"nausea,vomiting",,skin_rash,,,"fatigue,loss_of_appetite,malaise",,,,red_spots_over_body
Typhoid,"abdominal_pain,belly_pain",,"chills,high_fever","constipation,diarrhoea,nausea,vomiting",,,,,fatigue,,,,toxic_look_(typhos)
Typhoid,"abdominal_pain,belly_pain,headache",,"chills,high_fever","constipation,diarrhoea,vomiting",,,,,fatigue,,,,toxic_look_(typhos)
Typhoid,"abdominal_pain,belly_pain,headache",,"chills,high_fever","diarrhoea,nausea,vomiting",,,,,fatigue,,,,toxic_look_(typhos)
Typhoid,"belly_pain,headache",,"chills,high_fever","constipation,diarrhoea,nausea,vomiting",,,,,fatigue,,,,toxic_look_(typhos)
Typhoid,"abdominal_pain,belly_pain,headache",,"chills,high_fever","constipation,nausea,vomiting",,,,,fatigue,,,,toxic_look_(typhos)
Typhoid,"abdominal_pain,belly_pain,headache",,"chills,high_fever","constipation,diarrhoea,nausea,vomiting",,,,,fatigue,,,,
Typhoid,"abdominal_pain,headache",,"chills,high_fever","constipation,diarrhoea,nausea,vomiting",,,,,fatigue,,,,toxic_look_(typhos)
Typhoid,"abdominal_pain,belly_pain,headache",,"chills,high_fever","constipation,diarrhoea,nausea,vomiting",,,,,fatigue,,,,toxic_look_(typhos)
Typhoid,"abdominal_pain,belly_pain,headache",,"chills,high_fever","constipation,diarrhoea,nausea,vomiting",,,,,fatigue,,,,toxic_look_(typhos)
Typhoid,"abdominal_pain,belly_pain,headache",,"chills,high_fever","constipation,diarrhoea,nausea",,,,,fatigue,,,,toxic_look_(typhos)
hepatitis A,"abdominal_pain,joint_pain,muscle_pain",,mild_fever,"diarrhoea,nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
hepatitis A,"abdominal_pain,joint_pain,muscle_pain",,mild_fever,"diarrhoea,nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
hepatitis A,"abdominal_pain,muscle_pain",,mild_fever,"diarrhoea,nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
hepatitis A,"abdominal_pain,joint_pain,muscle_pain",,mild_fever,"diarrhoea,nausea",dark_urine,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
hepatitis A,"abdominal_pain,joint_pain,muscle_pain",,mild_fever,"diarrhoea,nausea,vomiting",dark_urine,,,yellowing_of_eyes,loss_of_appetite,,,,
hepatitis A,"abdominal_pain,joint_pain,muscle_pain",,mild_fever,"diarrhoea,nausea,vomiting",,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
hepatitis A,"abdominal_pain,joint_pain,muscle_pain",,mild_fever,"diarrhoea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
hepatitis A,"abdominal_pain,joint_pain,muscle_pain",,mild_fever,"diarrhoea,nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,,,,,
hepatitis A,"joint_pain,muscle_pain",,mild_fever,"diarrhoea,nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
hepatitis A,"abdominal_pain,joint_pain,muscle_pain",,mild_fever,"nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
Hepatitis B,abdominal_pain,,,,"dark_urine,yellow_urine","itching,yellowish_skin",,yellowing_of_eyes,"fatigue,lethargy,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,abdominal_pain,,,,"dark_urine,yellow_urine","itching,yellowish_skin",,yellowing_of_eyes,"fatigue,lethargy,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,abdominal_pain,,,,"dark_urine,yellow_urine",yellowish_skin,,yellowing_of_eyes,"fatigue,lethargy,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,abdominal_pain,,,,"dark_urine,yellow_urine","itching,yellowish_skin",,yellowing_of_eyes,"lethargy,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,abdominal_pain,,,,"dark_urine,yellow_urine","itching,yellowish_skin",,yellowing_of_eyes,"fatigue,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,abdominal_pain,,,,"dark_urine,yellow_urine",itching,,yellowing_of_eyes,"fatigue,lethargy,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,abdominal_pain,,,,yellow_urine,"itching,yellowish_skin",,yellowing_of_eyes,"fatigue,lethargy,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,abdominal_pain,,,,"dark_urine,yellow_urine","itching,yellowish_skin",,yellowing_of_eyes,"fatigue,lethargy,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,,,,,"dark_urine,yellow_urine","itching,yellowish_skin",,yellowing_of_eyes,"fatigue,lethargy,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis B,abdominal_pain,,,,dark_urine,"itching,yellowish_skin",,yellowing_of_eyes,"fatigue,lethargy,loss_of_appetite,malaise",,,,"receiving_blood_transfusion,receiving_unsterile_injections"
Hepatitis C,,,,nausea,,yellowish_skin,,,"fatigue,loss_of_appetite",,,,family_history
Hepatitis C,,,,nausea,,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,family_history
Hepatitis C,,,,nausea,,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,family_history
Hepatitis C,,,,nausea,,,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,family_history
Hepatitis C,,,,,,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,family_history
Hepatitis C,,,,nausea,,yellowish_skin,,yellowing_of_eyes,fatigue,,,,family_history
Hepatitis C,,,,nausea,,yellowish_skin,,,"fatigue,loss_of_appetite",,,,family_history
Hepatitis C,,,,nausea,,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
Hepatitis C,,,,nausea,,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,family_history
Hepatitis C,,,,nausea,,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,family_history
Hepatitis D,"abdominal_pain,joint_pain",,,"nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
Hepatitis D,abdominal_pain,,,"nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
Hepatitis D,"abdominal_pain,joint_pain",,,nausea,dark_urine,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
Hepatitis D,"abdominal_pain,joint_pain",,,"nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,loss_of_appetite,,,,
Hepatitis D,"abdominal_pain,joint_pain",,,"nausea,vomiting",dark_urine,,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
Hepatitis D,"abdominal_pain,joint_pain",,,"nausea,vomiting",,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
Hepatitis D,"abdominal_pain,joint_pain",,,vomiting,dark_urine,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
Hepatitis D,"abdominal_pain,joint_pain",,,"nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,fatigue,,,,
Hepatitis D,joint_pain,,,"nausea,vomiting",dark_urine,yellowish_skin,,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
Hepatitis D,"abdominal_pain,joint_pain",,,"nausea,vomiting",dark_urine,yellowish_skin,,,"fatigue,loss_of_appetite",,,,
Hepatitis E,"abdominal_pain,joint_pain",,high_fever,"nausea,stomach_bleeding,vomiting",dark_urine,yellowish_skin,coma,yellowing_of_eyes,"fatigue,loss_of_appetite",,,,
